code_departement,niveau_code,niveau_libelle
01,3,orange
02,3,orange
03,3,orange
04,3,orange
05,3,orange
06,3,orange
07,3,orange
08,2,jaune
09,2,jaune
10,3,orange
11,3,orange
12,3,orange
13,3,orange
14,3,orange
15,3,orange
16,3,orange
17,3,orange
18,3,orange
19,3,orange
2A,3,orange
2B,3,orange
21,3,orange
22,3,orange
23,3,orange
24,3,orange
25,3,orange
26,3,orange
27,3,orange
28,3,orange
29,3,orange
30,3,orange
31,3,orange
32,3,orange
33,3,orange
34,3,orange
35,3,orange
36,3,orange
37,3,orange
38,3,orange
39,3,orange
40,3,orange
41,3,orange
42,3,orange
43,2,jaune
44,3,orange
45,3,orange
46,3,orange
47,3,orange
48,2,jaune
49,3,orange
50,3,orange
51,2,jaune
52,3,orange
53,3,orange
54,2,jaune
55,2,jaune
56,3,orange
57,2,jaune
58,3,orange
59,2,jaune
60,3,orange
61,3,orange
62,2,jaune
63,3,orange
64,2,jaune
65,2,jaune
66,3,orange
67,2,jaune
68,2,jaune
69,3,orange
70,3,orange
71,3,orange
72,3,orange
73,3,orange
74,3,orange
75,3,orange
76,3,orange
77,3,orange
78,3,orange
79,3,orange
80,2,jaune
81,3,orange
82,3,orange
83,3,orange
84,3,orange
85,3,orange
86,3,orange
87,3,orange
88,2,jaune
89,3,orange
90,3,orange
91,3,orange
92,3,orange
93,3,orange
94,3,orange
95,3,orange
