code_departement,niveau_code,niveau_libelle,date_echeance
01,1,faible,2026-08-20
02,2,modere,2026-08-20
03,3,eleve,2026-08-20
04,2,modere,2026-08-20
05,2,modere,2026-08-20
06,2,modere,2026-08-20
07,2,modere,2026-08-20
08,1,faible,2026-08-20
09,1,faible,2026-08-20
10,2,modere,2026-08-20
11,3,eleve,2026-08-20
12,2,modere,2026-08-20
13,2,modere,2026-08-20
14,1,faible,2026-08-20
15,1,faible,2026-08-20
16,2,modere,2026-08-20
17,2,modere,2026-08-20
18,2,modere,2026-08-20
19,1,faible,2026-08-20
2A,2,modere,2026-08-20
2B,2,modere,2026-08-20
21,2,modere,2026-08-20
22,2,modere,2026-08-20
23,2,modere,2026-08-20
24,1,faible,2026-08-20
25,1,faible,2026-08-20
26,2,modere,2026-08-20
27,1,faible,2026-08-20
28,2,modere,2026-08-20
29,1,faible,2026-08-20
30,2,modere,2026-08-20
31,2,modere,2026-08-20
32,1,faible,2026-08-20
33,1,faible,2026-08-20
34,3,eleve,2026-08-20
35,2,modere,2026-08-20
36,2,modere,2026-08-20
37,2,modere,2026-08-20
38,1,faible,2026-08-20
39,2,modere,2026-08-20
40,1,faible,2026-08-20
41,2,modere,2026-08-20
42,2,modere,2026-08-20
43,1,faible,2026-08-20
44,2,modere,2026-08-20
45,2,modere,2026-08-20
46,1,faible,2026-08-20
47,1,faible,2026-08-20
48,1,faible,2026-08-20
49,2,modere,2026-08-20
50,1,faible,2026-08-20
51,2,modere,2026-08-20
52,2,modere,2026-08-20
53,2,modere,2026-08-20
54,2,modere,2026-08-20
55,2,modere,2026-08-20
56,2,modere,2026-08-20
57,2,modere,2026-08-20
58,2,modere,2026-08-20
59,1,faible,2026-08-20
60,1,faible,2026-08-20
61,2,modere,2026-08-20
62,1,faible,2026-08-20
63,2,modere,2026-08-20
64,1,faible,2026-08-20
65,1,faible,2026-08-20
66,3,eleve,2026-08-20
67,2,modere,2026-08-20
68,2,modere,2026-08-20
69,1,faible,2026-08-20
70,1,faible,2026-08-20
71,2,modere,2026-08-20
72,2,modere,2026-08-20
73,1,faible,2026-08-20
74,1,faible,2026-08-20
75,1,faible,2026-08-20
76,1,faible,2026-08-20
77,2,modere,2026-08-20
78,2,modere,2026-08-20
79,2,modere,2026-08-20
80,1,faible,2026-08-20
81,1,faible,2026-08-20
82,1,faible,2026-08-20
83,2,modere,2026-08-20
84,2,modere,2026-08-20
85,2,modere,2026-08-20
86,2,modere,2026-08-20
87,2,modere,2026-08-20
88,1,faible,2026-08-20
89,2,modere,2026-08-20
90,1,faible,2026-08-20
91,3,eleve,2026-08-20
92,1,faible,2026-08-20
93,1,faible,2026-08-20
94,1,faible,2026-08-20
95,1,faible,2026-08-20
